YYMM|CC-CODE|CC-DESC|RCODE-CODE|RCODE-DESC|CCAATT-CODE|CCAATT-DESC|CCAATTMM-CODE|CCAATTMM-DESC|MALE|FEMALE|TOTAL|HOUSE|
6112|33|จังหวัดศรีสะเกษ |0| |0| |0| |734,622|738,389|1,473,011|388,587|
6112|34|จังหวัดอุบลราชธานี |0| |0| |0| |937,766|936,782|1,874,548|594,524|
6112|35|จังหวัดยโสธร |0| |0| |0| |269,705|269,024|538,729|169,918|
6112|36|จังหวัดชัยภูมิ |0| |0| |0| |563,934|574,843|1,138,777|388,684|
6112|37|จังหวัดอำนาจเจริญ |0| |0| |0| |188,770|189,851|378,621|115,810|
6112|38|จังหวัดบึงกาฬ |0| |0| |0| |212,931|211,009|423,940|133,062|
6112|39|จังหวัดหนองบัวลำภู |0| |0| |0| |255,942|256,175|512,117|147,802|
6112|40|จังหวัดขอนแก่น |0| |0| |0| |889,505|916,390|1,805,895|617,585|
6112|41|จังหวัดอุดรธานี |0| |0| |0| |788,698|797,968|1,586,666|511,382|
6112|42|จังหวัดเลย |0| |0| |0| |322,896|319,877|642,773|219,935|
6112|43|จังหวัดหนองคาย |0| |0| |0| |259,773|262,330|522,103|172,982|
6112|44|จังหวัดมหาสารคาม |0| |0| |0| |472,540|490,507|963,047|295,355|
6112|45|จังหวัดร้อยเอ็ด |0| |0| |0| |650,184|657,024|1,307,208|382,913|
6112|46|จังหวัดกาฬสินธุ์ |0| |0| |0| |488,776|496,570|985,346|301,441|
6112|47|จังหวัดสกลนคร |0| |0| |0| |574,077|578,205|1,152,282|372,778|
6112|48|จังหวัดนครพนม |0| |0| |0| |358,584|360,202|718,786|223,957|
6112|49|จังหวัดมุกดาหาร |0| |0| |0| |176,319|175,963|352,282|114,014|
6112|50|จังหวัดเชียงใหม่ |0| |0| |0| |855,105|908,637|1,763,742|802,063|
6112|51|จังหวัดลำพูน |0| |0| |0| |195,908|210,047|405,955|177,358|
6112|52|จังหวัดลำปาง |0| |0| |0| |363,076|379,807|742,883|291,071|
6112|53|จังหวัดอุตรดิตถ์ |0| |0| |0| |222,920|232,483|455,403|169,007|
6112|54|จังหวัดแพร่ |0| |0| |0| |215,246|229,844|445,090|175,745|
6112|55|จังหวัดน่าน |0| |0| |0| |240,313|238,676|478,989|166,378|
6112|56|จังหวัดพะเยา |0| |0| |0| |232,129|243,086|475,215|190,142|
6112|57|จังหวัดเชียงราย |0| |0| |0| |630,221|661,909|1,292,130|538,852|
6112|58|จังหวัดแม่ฮ่องสอน |0| |0| |0| |143,932|138,634|282,566|110,092|
6112|60|จังหวัดนครสวรรค์ |0| |0| |0| |520,079|543,885|1,063,964|410,465|
6112|61|จังหวัดอุทัยธานี |0| |0| |0| |161,303|168,130|329,433|122,369|
6112|62|จังหวัดกำแพงเพชร |0| |0| |0| |360,440|367,367|727,807|271,401|
6112|63|จังหวัดตาก |0| |0| |0| |331,716|322,960|654,676|216,661|
6112|64|จังหวัดสุโขทัย |0| |0| |0| |290,109|307,148|597,257|215,587|
6112|65|จังหวัดพิษณุโลก |0| |0| |0| |424,595|442,296|866,891|342,787|
6112|66|จังหวัดพิจิตร |0| |0| |0| |263,481|275,893|539,374|193,596|
6112|67|จังหวัดเพชรบูรณ์ |0| |0| |0| |492,253|502,287|994,540|353,585|
6112|70|จังหวัดราชบุรี |0| |0| |0| |426,132|447,386|873,518|314,365|
6112|71|จังหวัดกาญจนบุรี |0| |0| |0| |449,086|444,065|893,151|338,800|
6112|72|จังหวัดสุพรรณบุรี |0| |0| |0| |410,241|438,479|848,720|299,083|
6112|73|จังหวัดนครปฐม |0| |0| |0| |439,691|477,362|917,053|396,306|
6112|74|จังหวัดสมุทรสาคร |0| |0| |0| |279,174|298,790|577,964|283,853|
6112|75|จังหวัดสมุทรสงคราม |0| |0| |0| |92,901|100,890|193,791|70,397|
6112|76|จังหวัดเพชรบุรี |0| |0| |0| |234,805|249,489|484,294|213,028|
6112|77|จังหวัดประจวบคีรีขันธ์ |0| |0| |0| |271,803|277,012|548,815|258,882|
6112|80|จังหวัดนครศรีธรรมราช |0| |0| |0| |771,530|788,903|1,560,433|565,508|
6112|81|จังหวัดกระบี่ |0| |0| |0| |235,541|238,197|473,738|185,150|
6112|82|จังหวัดพังงา |0| |0| |0| |133,931|134,309|268,240|114,388|
6112|83|จังหวัดภูเก็ต |0| |0| |0| |194,074|216,137|410,211|254,948|
6112|84|จังหวัดสุราษฎร์ธานี |0| |0| |0| |524,541|538,960|1,063,501|493,636|
6112|85|จังหวัดระนอง |0| |0| |0| |96,956|94,912|191,868|89,584|
6112|86|จังหวัดชุมพร |0| |0| |0| |252,915|258,048|510,963|232,257|
6112|90|จังหวัดสงขลา |0| |0| |0| |698,905|733,723|1,432,628|535,010|
6112|91|จังหวัดสตูล |0| |0| |0| |159,766|161,808|321,574|103,019|
6112|92|จังหวัดตรัง |0| |0| |0| |314,781|328,335|643,116|229,122|
6112|93|จังหวัดพัทลุง |0| |0| |0| |255,830|269,214|525,044|192,087|
6112|94|จังหวัดปัตตานี |0| |0| |0| |355,424|362,653|718,077|188,289|
6112|95|จังหวัดยะลา |0| |0| |0| |264,928|267,398|532,326|164,531|
6112|96|จังหวัดนราธิวาส |0| |0| |0| |397,100|405,374|802,474|212,873|
6012|0|ทั่วประเทศ|0| |0| |0| |32,464,906|33,723,597|66,188,503|25,723,807|
6012|10|กรุงเทพมหานคร|0| |0| |0| |2,682,962|2,999,453|5,682,415|2,887,274|
6012|11|จังหวัดสมุทรปราการ |0| |0| |0| |627,493|683,273|1,310,766|655,631|
6012|12|จังหวัดนนทบุรี |0| |0| |0| |574,500|655,235|1,229,735|667,539|
6012|13|จังหวัดปทุมธานี |0| |0| |0| |536,033|593,082|1,129,115|585,814|
6012|14|จังหวัดพระนครศรีอยุธยา |0| |0| |0| |392,083|421,769|813,852|316,086|
6012|15|จังหวัดอ่างทอง |0| |0| |0| |134,830|146,357|281,187|97,617|
6012|16|จังหวัดลพบุรี |0| |0| |0| |379,618|377,655|757,273|288,416|
6012|17|จังหวัดสิงห์บุรี |0| |0| |0| |100,132|109,956|210,088|75,769|
6012|18|จังหวัดชัยนาท |0| |0| |0| |158,773|170,949|329,722|122,391|
6012|19|จังหวัดสระบุรี |0| |0| |0| |316,489|325,551|642,040|266,957|
6012|20|จังหวัดชลบุรี |0| |0| |0| |738,943|770,182|1,509,125|985,469|
6012|21|จังหวัดระยอง |0| |0| |0| |349,775|361,461|711,236|457,833|
6012|22|จังหวัดจันทบุรี |0| |0| |0| |261,887|272,572|534,459|231,087|
6012|23|จังหวัดตราด |0| |0| |0| |114,140|115,509|229,649|103,887|
6012|24|จังหวัดฉะเชิงเทรา |0| |0| |0| |347,984|361,905|709,889|289,372|
6012|25|จังหวัดปราจีนบุรี |0| |0| |0| |241,281|246,263|487,544|203,243|
6012|26|จังหวัดนครนายก |0| |0| |0| |128,236|131,106|259,342|95,955|
6012|27|จังหวัดสระแก้ว |0| |0| |0| |281,497|280,441|561,938|205,435|
6012|30|จังหวัดนครราชสีมา |0| |0| |0| |1,301,249|1,337,977|2,639,226|948,964|
6012|31|จังหวัดบุรีรัมย์ |0| |0| |0| |792,963|798,942|1,591,905|454,926|
6012|32|จังหวัดสุรินทร์ |0| |0| |0| |697,402|699,778|1,397,180|387,652|
6012|33|จังหวัดศรีสะเกษ |0| |0| |0| |734,728|737,303|1,472,031|383,507|
6012|34|จังหวัดอุบลราชธานี |0| |0| |0| |936,052|933,581|1,869,633|584,612|
6012|35|จังหวัดยโสธร |0| |0| |0| |270,412|269,130|539,542|167,346|
6012|36|จังหวัดชัยภูมิ |0| |0| |0| |565,245|574,111|1,139,356|383,882|
6012|37|จังหวัดอำนาจเจริญ |0| |0| |0| |188,737|189,370|378,107|113,751|
6012|38|จังหวัดบึงกาฬ |0| |0| |0| |212,806|210,226|423,032|130,937|
6012|39|จังหวัดหนองบัวลำภู |0| |0| |0| |256,009|255,632|511,641|145,807|
6012|40|จังหวัดขอนแก่น |0| |0| |0| |890,486|915,424|1,805,910|607,824|
6012|41|จังหวัดอุดรธานี |0| |0| |0| |787,877|795,215|1,583,092|503,287|
